Fiber 1_right: Spring Idx,x (mm),y (mm),z (mm),Cutting plane x
110,1.0922947314242675,9.933119914393568,13.034862847473738,1
111,3.2675084065443447,9.437871590406283,13.106091606203101,1
112,5.277479321105137,8.472800968363757,13.177320364932466,1
113,7.022214730615282,7.08652368670531,13.248549123661832,1
114,8.415051279791227,5.348594549509494,13.319777882391195,1
115,9.386959622455356,3.3460178294429035,13.39100664112056,1
116,9.88996540460135,1.178891723988766,13.462235399849925,1
117,9.899517078722894,-1.0445949943703736,13.53346415857929,1
118,9.415683696396004,-3.2135640459226855,13.604692917308654,1
119,8.463124271142588,-5.219976794316395,13.67592167603802,1
120,7.089831595328364,-6.964015758641958,13.747150434767384,1
121,5.364714475160781,-8.35905042884663,13.818379193496748,1
122,3.374140172546266,-9.335940341702397,13.889607952226113,1
123,1.21761053308609,-9.846461679907977,13.960836710955478,1
124,1.0,-9.838367753008905,13.965029035511776,1
125,1.0,-4.938259157172685,14.231859829305215,1
126,1.0,-0.03815056133646433,14.498690623098655,1
127,1.0,4.8619580344997555,14.765521416892096,1
128,1.0,9.762066630335976,15.032352210685534,1
129,3.0532869368164564,9.347380544388095,15.100496850625312,1
130,5.048600721467967,8.43205333836105,15.171725609354677,1
131,6.790069703396975,7.097514728055305,15.242954368084042,1
132,8.191185836973855,5.4107454368908074,15.314183126813408,1
133,9.18250083475226,3.4562060537125885,15.385411885542771,1
134,9.71506834421281,1.3316079607131874,15.456640644272136,1
135,9.762860444502712,-0.8569714250110133,15.527869403001501,1
136,9.324039171959669,-3.0003849004400536,15.599098161730865,1
137,8.421020984088196,-4.991858784663746,15.67032692046023,1
138,7.099332303137607,-6.73231182136582,15.741555679189595,1
139,5.425314536999697,-8.1352847163229,15.81278443791896,1
140,3.482794253424588,-9.131235054493859,15.884013196648324,1
141,1.3688856319671818,-9.670984247238307,15.955241955377689,1
142,1.0,-9.680964339359669,15.965029035511776,1
143,1.0,-4.859557450348067,16.231859829305215,1
144,1.0,-0.038150561336465216,16.498690623098653,1
145,1.0,4.7832563276751365,16.765521416892096,1
146,1.0,9.604663216686738,17.032352210685534,1
147,2.843270513760725,9.252320207905623,17.094902095047523,1
148,4.822809232809029,8.385918663383086,17.166130853776888,1
149,6.559740559379069,7.102569208394394,17.237359612506253,1
150,7.967775045371074,5.4667057534453605,17.30858837123562,1
151,8.977113210839152,3.560257761835352,17.379817129964984,1
152,9.537905542555619,1.478547028438708,17.45104588869435,1
153,9.62271424803533,-0.6744783453216746,17.52227464742371,1
154,9.22785520602296,-2.791434484006782,17.593503406153076,1
155,8.373554505303119,-4.7668575952369086,17.66473216488244,1
156,7.102913120862375,-6.502458023647609,17.735960923611806,1
157,5.479732687721822,-7.912010752567547,17.80718968234117,1
158,3.5853120366650644,-8.925639022710644,17.878418441070536,1
159,1.5143753294352862,-9.493278262670513,17.9496471997999,1
160,1.0,-9.52356092571043,17.965029035511776,1
161,1.0,-4.780855743523448,18.231859829305215,1
162,1.0,-0.03815056133646433,18.498690623098653,1
163,1.0,4.7045546208505185,18.765521416892096,1
164,1.0,9.447259803037502,19.032352210685534,1
165,2.6375527773351033,9.152810690837562,19.089307339469734,1
166,4.600222788081619,8.334493294239865,19.1605360981991,1
167,6.331363650471839,7.101754926348851,19.231764856928464,1
168,7.744966885718147,5.516511374485927,19.30299361565783,1
169,8.770948992187886,3.658175124287236,19.374222374387195,1
170,9.358625922657062,1.6196772893526306,19.44545113311656,1
171,9.479216680949014,-0.49717962186177794,19.51667989184592,1
172,9.12725238108236,-2.5868057082532623,19.587908650575287,1
173,8.320821807940675,-4.545090553632366,19.659137409304652,1
174,7.100642588194029,-6.274590265147513,19.730366168034017,1
175,5.528005625512877,-7.689376241681866,19.801594926763382,1
176,3.6816965564398707,-8.719304400568465,19.872823685492747,1
177,1.6540488491842695,-9.313492755683102,19.944052444222113,1
178,1.0,-9.366157512061195,19.965029035511776,1
179,1.0,-4.702154036698831,20.231859829305215,1
180,1.0,-0.038150561336465216,20.498690623098653,1
181,1.0,4.6258529140259,20.765521416892096,1
182,1.0,9.289856389388264,21.032352210685534,1
183,2.4362244402244713,9.048973968991607,21.083712583891945,1
184,4.3809568797542005,8.277876050281053,21.15494134262131,1
185,6.105073496383375,7.095142628716673,21.226170101350675,1
186,7.522908206022146,5.560201456276404,21.29739886008004,1
187,8.56416004336822,3.749963761861246,21.368627618809406,1
188,9.177378805176422,1.7549705534922933,21.43985637753877,1
189,9.332507087174797,-0.3251358475056407,21.511085136268136,1
190,9.022353129164133,-2.3865885483013574,21.582313894997498,1
191,8.262922319751464,-4.326672534320047,21.653542653726863,1
